Student No.,Midterm 1,Midterm 2,Midterm Average,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Final Exam,Bonus (Class Part),Total
50249101,17,20,18.5,10,8.75,9.6,10.2,,,,57.05
50681105,16.5,12.5,14.5,10,8,8.5,8,,,,49
50998103,14.5,14,14.25,10,9.75,7.2,10,,,,51.2
53392106,18.5,16.5,17.5,10,8.5,10.3,10.2,,,,56.5
53463105,15.5,15.5,15.5,10,6,7.7,10.2,,,,49.4
53671103,14,10.5,12.25,10,8,7,10,,,,47.25
54813118,15,12,13.5,10,8.25,8.75,8.2,,,,48.7
54847108,6,8,7,10,6,5,6.2,,,,34.2
56269103,17,14,15.5,10,7.5,8.1,10,,,,51.1
58644105,11.5,16,13.75,10,7,8,10.2,,,,48.95
59080101,17.5,19,18.25,10,9.75,9.8,10.2,,,,58
60026101,17,14,15.5,10,8,8.7,10,,,,52.2
61121083,17,14,15.5,10,7.25,9.2,10,,,,51.95
64331135,8,8,8,10,8.75,6,10,,,,42.75
66387085,15,15,15,10,8.75,8.9,10,,,,52.65
69736080,8.5,6.5,7.5,10,6.75,9,8,,,,41.25
70730098,16,7,11.5,10,8.25,9,10,,,,48.75
,,,,,,,,,,,
Average,15.8108108108108,13.8243243243243,14.8175675675676,9.9527027027027,8.35236486486486,8.69662162162162,9.62567567567569,,,,51.4449324324324
